,Date,Wallet,Token,Sell Basis,Buy Basis,Buy Date,Buy Lot,Period,Amount,Profit
194,2021-05-11,Coinbase Pro,ETH,4170.0,2361.8,2021-04-23,0.05,18 days,0.04,72.32799999999999
195,2021-05-12,Coinbase Pro,ETH,4200.0,2361.8,2021-04-23,0.05,19 days,0.04,73.52799999999999
196,2021-05-13,Coinbase Pro,ETH,3700.0,2361.8,2021-04-23,0.05,20 days,0.05,66.91
197,2021-05-13,Coinbase Pro,ETH,3700.0,2179.8,2021-04-23,0.05,20 days,0.05,76.00999999999999
198,2021-05-17,Coinbase Pro,ETH,3205.0,3316.4,2021-05-17,0.05,0 days,0.05,-5.570000000000005
199,2021-05-17,Coinbase Pro,ETH,3205.0,2361.8,2021-04-23,0.05,24 days,0.05,42.16
200,2021-05-17,Coinbase Pro,ETH,3300.0,3316.4,2021-05-17,0.05,0 days,0.05,-0.8200000000000046
201,2021-05-17,Coinbase Pro,ETH,3300.0,2361.8,2021-04-23,0.05,24 days,0.05,46.91
202,2021-05-17,Coinbase Pro,ETH,3400.0,3316.4,2021-05-17,0.05,0 days,0.05,4.179999999999995
203,2021-05-17,Coinbase Pro,ETH,3400.0,2361.8,2021-04-23,0.05,24 days,0.05,51.91
204,2021-05-18,Coinbase Pro,ETH,3500.0,3316.4,2021-05-17,0.05,1 days,0.05,9.179999999999996
205,2021-05-18,Coinbase Pro,ETH,3500.0,2361.8,2021-04-23,0.05,25 days,0.05,56.91
206,2021-11-18,Coinbase Pro,ETH,4058.096482210078,4020.0,2021-10-27,0.1,22 days,0.0012937100000000035,0.04928580000000039
